rule,severity,file,line,message
typescript:S7723,MINOR,strategic-learning-unified-theatre:src/installer/hw-probe/hwProbe.spec.ts,5,Use `new Array()` instead of `Array()`.
typescript:S6594,MINOR,strategic-learning-unified-theatre:src/installer/hw-probe/hwProbe.ts,182,Use the "RegExp.exec()" method instead.
typescript:S7773,MINOR,strategic-learning-unified-theatre:src/installer/hw-probe/hwProbe.ts,184,Prefer `Number.parseFloat` over `parseFloat`.
javascript:S2486,MINOR,strategic-learning-unified-theatre:src/internal/config.js,235,Handle this exception or don't catch it at all.
javascript:S7744,MINOR,strategic-learning-unified-theatre:src/internal/config.js,271,The empty object is useless.
javascript:S7744,MINOR,strategic-learning-unified-theatre:src/internal/config.js,274,The empty object is useless.
javascript:S7744,MINOR,strategic-learning-unified-theatre:src/internal/config.js,319,The empty object is useless.
javascript:S7744,MINOR,strategic-learning-unified-theatre:src/internal/config.js,323,The empty object is useless.
javascript:S7744,MINOR,strategic-learning-unified-theatre:src/internal/config.js,328,The empty object is useless.
javascript:S4624,MAJOR,strategic-learning-unified-theatre:src/internal/config.js,385,Refactor this code to not use nested template literals.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,104,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,118,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,136,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,142,Do not call `Array#push()` multiple times.
javascript:S7780,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,217,`String.raw` should be used to avoid escaping `\`.
javascript:S7780,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,218,`String.raw` should be used to avoid escaping `\`.
javascript:S7780,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,219,`String.raw` should be used to avoid escaping `\`.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:src/internal/paths.js,226,Extract this nested ternary operation into an independent statement.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,294,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,295,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,306,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,307,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,319,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,320,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,321,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,322,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,323,Do not call `Array#push()` multiple times.
javascript:S7778,MINOR,strategic-learning-unified-theatre:src/internal/paths.js,324,Do not call `Array#push()` multiple times.
javascript:S7744,MINOR,strategic-learning-unified-theatre:src/llm/document-ingester.js,288,The empty object is useless.
javascript:S7781,MINOR,strategic-learning-unified-theatre:src/llm/embeddings.js,182,Prefer `String#replaceAll()` over `String#replace()`.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:src/llm/local-llm.js,111,Extract this nested ternary operation into an independent statement.
