repo_name,function_name,language,file_path,line,signature_excerpt,visibility,invocation_type,called_by,reference_count,string_reference_count,live_confidence,notes,owner_review,status,same_file_reference_count,same_file_string_reference_count,total_reference_count,path_invoked_match_file
Solution,Accounts,jsx,renderer/screens/Accounts.jsx,35,export default function Accounts() {,public,Direct,"e2e/accounts.spec.ts (0 call refs, 1 string refs); renderer/App.jsx (3 call refs, 1 string refs); renderer/components/Sidebar.jsx (0 call refs, 1 string refs)",3,3,high,Same-file references detected; private helper usage is present. String-based references detected; check dynamic dispatch/config wiring.,,,1,0,4,
Solution,loadHealth,jsx,renderer/screens/Accounts.jsx,54,const loadHealth = async (id) => {,internal,Direct,"src/llm/provider-health.ts (6 call refs, 0 string refs)",6,0,medium,Same-file references detected; private helper usage is present.,,,3,0,9,
Solution,load,jsx,renderer/screens/Accounts.jsx,66,const load = () =>,internal,Direct,"src/scheduler.js (1 call refs, 0 string refs); src/daemon/watcher.js (1 call refs, 0 string refs); src/accounts/store.js (6 call refs, 0 string refs); src/accounts/secret-store.js (4 call refs, 0 string refs); renderer/screens/GitMonitor.jsx (3 call refs, 0 string refs); renderer/screens/ProgressLog.jsx (1 call refs, 0 string refs); tests/health.test.js (1 call refs, 0 string refs); tests/store.test.js (8 call refs, 0 string refs); tests/scheduler.test.js (5 call refs, 1 string refs)",30,1,medium,Same-file references detected; private helper usage is present. String-based references detected; check dynamic dispatch/config wiring.,,,5,0,35,
Solution,doSwitch,jsx,renderer/screens/Accounts.jsx,91,const doSwitch = async (id) => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,refreshHealth,jsx,renderer/screens/Accounts.jsx,111,const refreshHealth = async (id) => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,updateForm,jsx,renderer/screens/Accounts.jsx,115,"const updateForm = (patch) => setForm((prev) => ({ ...prev, ...patch }));",internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,10,0,10,
Solution,handleManualAdd,jsx,renderer/screens/Accounts.jsx,117,const handleManualAdd = async () => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,getLoginUrl,jsx,renderer/screens/Accounts.jsx,139,const getLoginUrl = (agentType) => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,3,0,3,
Solution,handleOpenLoginPage,jsx,renderer/screens/Accounts.jsx,145,const handleOpenLoginPage = async () => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,2,0,2,
Solution,handleCapture,jsx,renderer/screens/Accounts.jsx,155,const handleCapture = async () => {,internal,Direct,"src/session-supervisor.js (1 call refs, 0 string refs); tests/session-supervisor.test.js (5 call refs, 0 string refs)",6,0,medium,Same-file references detected; private helper usage is present.,,,2,0,8,
Solution,BrowserAutomation,jsx,renderer/screens/BrowserAutomation.jsx,10,export default function BrowserAutomation({ onEditTemplate }) {,public,Direct,,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,refresh,jsx,renderer/screens/BrowserAutomation.jsx,22,const refresh = async () => {,internal,Direct,"renderer/screens/PromptTemplates.jsx (4 call refs, 0 string refs); renderer/components/StatusBar.jsx (1 call refs, 0 string refs)",5,0,medium,Same-file references detected; private helper usage is present.,,,3,0,8,
Solution,handleSend,jsx,renderer/screens/BrowserAutomation.jsx,39,const handleSend = async () => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,handleLogin,jsx,renderer/screens/BrowserAutomation.jsx,61,const handleLogin = async () => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,handleUseTemplate,jsx,renderer/screens/BrowserAutomation.jsx,77,const handleUseTemplate = () => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,handleCopyToEditor,jsx,renderer/screens/BrowserAutomation.jsx,84,const handleCopyToEditor = () => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,Dashboard,jsx,renderer/screens/Dashboard.jsx,3,export default function Dashboard() {,public,Direct,"renderer/App.jsx (3 call refs, 1 string refs); renderer/components/Sidebar.jsx (0 call refs, 1 string refs); tests/ui/helpers/electronUi.js (0 call refs, 1 string refs)",3,3,high,Same-file references detected; private helper usage is present. String-based references detected; check dynamic dispatch/config wiring.,,,1,0,4,
Solution,onEvent,jsx,renderer/screens/Dashboard.jsx,11,"const onEvent = (e) => setEvents((s) => [e].concat(s).slice(0, 5))",internal,Direct,"src/renderer/types/electron.d.ts (4 call refs, 0 string refs); renderer/App.jsx (1 call refs, 0 string refs); renderer/screens/LiveFeed.jsx (1 call refs, 0 string refs)",6,0,medium,Same-file references detected; private helper usage is present.,,,3,0,9,
Solution,GitMonitor,jsx,renderer/screens/GitMonitor.jsx,3,export default function GitMonitor() {,public,Direct,"src/cli.js (2 call refs, 0 string refs); src/internal/git-monitor.js (1 call refs, 0 string refs); src/daemon/watcher.js (2 call refs, 0 string refs); renderer/App.jsx (3 call refs, 0 string refs); tests/git-monitor-coverage.test.js (1 call refs, 0 string refs); tests/cli_debug.test.js (1 call refs, 0 string refs); tests/git-monitor-status.test.js (2 call refs, 0 string refs)",12,0,high,Cross-file references detected; review for external wiring.,,,0,0,12,
Solution,load,jsx,renderer/screens/GitMonitor.jsx,8,const load = async () => {,internal,Direct,"src/scheduler.js (1 call refs, 0 string refs); src/daemon/watcher.js (1 call refs, 0 string refs); src/accounts/store.js (6 call refs, 0 string refs); src/accounts/secret-store.js (4 call refs, 0 string refs); renderer/screens/ProgressLog.jsx (1 call refs, 0 string refs); renderer/screens/Accounts.jsx (5 call refs, 0 string refs); tests/health.test.js (1 call refs, 0 string refs); tests/store.test.js (8 call refs, 0 string refs); tests/scheduler.test.js (5 call refs, 1 string refs)",32,1,medium,Same-file references detected; private helper usage is present. String-based references detected; check dynamic dispatch/config wiring.,,,3,0,35,
Solution,add,jsx,renderer/screens/GitMonitor.jsx,17,const add = async () => {,internal,Direct,"hello.py (2 call refs, 0 string refs); src/cli.js (1 call refs, 1 string refs); src/browser-bridge.js (0 call refs, 1 string refs); src/test-runner.js (1 call refs, 0 string refs); src/internal/paths.js (1 call refs, 0 string refs); src/knowledge/rag-dedup.js (1 call refs, 0 string refs); src/commands/ai.js (4 call refs, 4 string refs); src/commands/llm.js (0 call refs, 1 string refs); src/commands/browser.js (0 call refs, 1 string refs); src/commands/idea.js (0 call refs, 1 string refs); src/shared/retrieval/graph-incremental.ts (2 call refs, 0 string refs); src/renderer/types/electron.d.ts (1 call refs, 0 string refs); src/ai-memory/repositories/test-baseline-repo.js (1 call refs, 0 string refs); src/ai-memory/repositories/commands-repo.js (1 call refs, 0 string refs); src/ai-memory/repositories/decisions-repo.js (1 call refs, 0 string refs)",106,105,medium,Same-file references detected; private helper usage is present. String-based references detected; check dynamic dispatch/config wiring.,,,1,0,107,
Solution,remove,jsx,renderer/screens/GitMonitor.jsx,25,const remove = async (p) => {,internal,Direct,"src/cli.js (1 call refs, 1 string refs); src/renderer/types/electron.d.ts (1 call refs, 0 string refs); src/accounts/store.js (1 call refs, 0 string refs); tests/cli_debug.test.js (0 call refs, 3 string refs); tests/store.test.js (10 call refs, 0 string refs); tests/tmp-cli-debug.test.js (0 call refs, 1 string refs); tests/cli.test.js (0 call refs, 4 string refs); tests/ui/dashboard.test.js (56 call refs, 0 string refs)",69,9,medium,Same-file references detected; private helper usage is present. String-based references detected; check dynamic dispatch/config wiring.,,,1,0,70,
Solution,LiveFeed,jsx,renderer/screens/LiveFeed.jsx,3,export default function LiveFeed() {,public,Direct,"renderer/App.jsx (3 call refs, 0 string refs)",3,0,high,Cross-file references detected; review for external wiring.,,,0,0,3,
Solution,onEvent,jsx,renderer/screens/LiveFeed.jsx,10,const onEvent = (e) => {,internal,Direct,"src/renderer/types/electron.d.ts (4 call refs, 0 string refs); renderer/App.jsx (1 call refs, 0 string refs); renderer/screens/Dashboard.jsx (1 call refs, 0 string refs)",6,0,medium,Same-file references detected; private helper usage is present.,,,3,0,9,
Solution,LocalLLM,jsx,renderer/screens/LocalLLM.jsx,8,export default function LocalLLM() {,public,Direct,"renderer/App.jsx (3 call refs, 0 string refs)",3,0,high,Cross-file references detected; review for external wiring.,,,0,0,3,
Solution,refreshStatus,jsx,renderer/screens/LocalLLM.jsx,17,const refreshStatus = async () => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,3,0,3,
Solution,handleSetup,jsx,renderer/screens/LocalLLM.jsx,31,const handleSetup = async () => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,handleAsk,jsx,renderer/screens/LocalLLM.jsx,45,const handleAsk = async () => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
